,Age,Sex,Embarked
0,22.0,male,S
1,26.0,female,S
2,35.0,female,S
3,35.0,male,S
4,54.0,male,S
5,2.0,male,S
6,27.0,female,S
7,4.0,female,S
8,58.0,female,S
9,20.0,male,S
10,39.0,male,S
11,14.0,female,S
12,55.0,female,S
13,,male,S
14,31.0,female,S
15,35.0,male,S
16,34.0,male,S
17,28.0,male,S
18,8.0,female,S
19,38.0,female,S
20,19.0,male,S
21,,male,S
22,66.0,male,S
23,42.0,male,S
24,21.0,male,S
25,18.0,female,S
26,40.0,female,S
27,27.0,female,S
28,,male,S
29,18.0,female,S
30,7.0,male,S
31,21.0,male,S
32,29.0,female,S
33,,male,S
34,21.0,female,S
35,5.0,female,S
36,11.0,male,S
37,45.0,male,S
38,4.0,male,S
39,29.0,female,S
40,19.0,male,S
41,17.0,female,S
42,26.0,male,S
43,32.0,male,S
44,16.0,female,S
45,21.0,male,S
46,32.0,male,S
47,25.0,male,S
48,,male,S
49,,male,S
50,0.83,male,S
51,30.0,female,S
52,22.0,male,S
53,29.0,male,S
54,28.0,male,S
55,17.0,female,S
56,33.0,female,S
57,16.0,male,S
58,,male,S
59,23.0,female,S
60,24.0,male,S
61,29.0,male,S
62,20.0,male,S
63,46.0,male,S
64,26.0,male,S
65,59.0,male,S
66,,male,S
67,34.0,female,S
68,34.0,male,S
69,28.0,female,S
70,,male,S
71,21.0,male,S
72,33.0,male,S
73,37.0,male,S
74,28.0,male,S
75,21.0,female,S
76,,male,S
77,38.0,male,S
78,47.0,male,S
79,22.0,male,S
80,20.0,female,S
81,21.0,male,S
82,29.0,male,S
83,2.0,female,S
84,21.0,male,S
85,,male,S
86,32.5,female,S
87,54.0,male,S
88,24.0,male,S
89,45.0,male,S
90,20.0,male,S
91,47.0,female,S
92,29.0,female,S
93,25.0,male,S
94,19.0,female,S
95,37.0,male,S
96,16.0,male,S
97,22.0,female,S
98,24.0,female,S
99,18.0,male,S
100,19.0,male,S
101,27.0,male,S
102,9.0,female,S
103,36.5,male,S
104,42.0,male,S
105,51.0,male,S
106,22.0,female,S
107,55.5,male,S
108,40.5,male,S
109,,male,S
110,30.0,male,S
111,,male,S
112,,male,S
113,44.0,male,S
114,40.0,female,S
115,26.0,male,S
116,17.0,male,S
117,1.0,male,S
118,9.0,male,S
119,,female,S
120,45.0,female,S
121,,male,S
122,28.0,male,S
123,61.0,male,S
124,1.0,female,S
125,21.0,male,S
126,18.0,male,S
127,,male,S
128,30.0,male,S
129,36.0,male,S
130,,female,S
131,9.0,male,S
132,1.0,male,S
133,4.0,female,S
134,,male,S
135,45.0,male,S
136,36.0,male,S
137,32.0,female,S
138,19.0,male,S
139,19.0,female,S
140,3.0,male,S
141,42.0,male,S
142,24.0,female,S
143,28.0,male,S
144,,male,S
145,34.0,male,S
146,18.0,male,S
147,2.0,female,S
148,32.0,male,S
149,24.0,male,S
150,35.0,female,S
151,22.0,male,S
152,30.0,male,S
153,27.0,female,S
154,42.0,male,S
155,30.0,male,S
156,16.0,male,S
157,27.0,male,S
158,51.0,male,S
159,,male,S
160,38.0,male,S
161,22.0,male,S
162,19.0,male,S
163,20.5,male,S
164,18.0,male,S
165,,female,S
166,35.0,female,S
167,29.0,male,S
168,59.0,male,S
169,5.0,female,S
170,24.0,male,S
171,,female,S
172,44.0,male,S
173,8.0,female,S
174,19.0,male,S
175,33.0,male,S
176,29.0,male,S
177,22.0,male,S
178,25.0,female,S
179,24.0,female,S
180,37.0,male,S
181,54.0,male,S
182,,male,S
183,29.0,female,S
184,62.0,male,S
185,30.0,male,S
186,41.0,female,S
187,30.0,female,S
188,50.0,female,S
189,3.0,male,S
190,52.0,male,S
191,40.0,male,S
192,36.0,male,S
193,16.0,male,S
194,25.0,male,S
195,58.0,female,S
196,35.0,female,S
197,,male,S
198,25.0,male,S
199,41.0,female,S
200,63.0,female,S
201,45.0,female,S
202,,male,S
203,35.0,female,S
204,28.0,male,S
205,16.0,male,S
206,19.0,male,S
207,,male,S
208,30.0,male,S
209,22.0,male,S
210,42.0,male,S
211,26.0,female,S
212,24.0,female,S
213,24.0,male,S
214,2.0,female,S
215,,male,S
216,19.0,male,S
217,,male,S
218,0.92,male,S
219,26.0,female,S
220,28.0,male,S
221,43.0,male,S
222,26.0,female,S
223,24.0,female,S
224,54.0,male,S
225,31.0,female,S
226,22.0,male,S
227,27.0,male,S
228,22.0,female,S
229,,male,S
230,61.0,male,S
231,36.0,female,S
232,31.0,female,S
233,45.5,male,S
234,38.0,male,S
235,16.0,male,S
236,,female,S
237,,male,S
238,29.0,male,S
239,45.0,male,S
240,45.0,male,S
241,2.0,male,S
242,24.0,female,S
243,28.0,male,S
244,25.0,male,S
245,36.0,male,S
246,24.0,female,S
247,40.0,female,S
248,,female,S
249,3.0,male,S
250,42.0,male,S
251,23.0,male,S
252,,male,S
253,25.0,male,S
254,28.0,male,S
255,22.0,female,S
256,38.0,female,S
257,40.0,male,S
258,35.0,male,S
259,30.0,male,S
260,18.0,male,S
261,19.0,male,S
262,3.0,female,S
263,22.0,female,S
264,19.0,male,S
265,32.0,male,S
266,35.0,female,S
267,,male,S
268,18.0,male,S
269,1.0,male,S
270,36.0,female,S
271,36.0,male,S
272,21.0,male,S
273,28.0,male,S
274,24.0,female,S
275,22.0,male,S
276,31.0,female,S
277,46.0,male,S
278,23.0,male,S
279,28.0,female,S
280,39.0,male,S
281,26.0,male,S
282,21.0,female,S
283,28.0,male,S
284,20.0,female,S
285,34.0,male,S
286,51.0,male,S
287,3.0,male,S
288,21.0,male,S
289,,female,S
290,,male,S
291,,male,S
292,44.0,male,S
293,,female,S
294,34.0,female,S
295,18.0,female,S
296,30.0,male,S
297,10.0,female,S
298,29.0,male,S
299,28.0,female,S
300,18.0,male,S
301,,male,S
302,28.0,female,S
303,19.0,female,S
304,32.0,male,S
305,28.0,male,S
306,,female,S
307,42.0,female,S
308,17.0,male,S
309,50.0,male,S
310,14.0,female,S
311,21.0,female,S
312,24.0,female,S
313,64.0,male,S
314,31.0,male,S
315,45.0,female,S
316,20.0,male,S
317,25.0,male,S
318,28.0,female,S
319,,male,S
320,4.0,male,S
321,13.0,female,S
322,34.0,male,S
323,52.0,male,S
324,36.0,male,S
325,,male,S
326,,male,S
327,65.0,male,S
328,,female,S
329,50.0,female,S
330,48.0,male,S
331,34.0,male,S
332,47.0,male,S
333,48.0,male,S
334,,male,S
335,38.0,male,S
336,,male,S
337,56.0,male,S
338,,male,S
339,38.0,male,S
340,33.0,female,S
341,22.0,female,S
342,,male,S
343,34.0,male,S
344,29.0,male,S
345,22.0,male,S
346,2.0,female,S
347,9.0,male,S
348,,male,S
349,50.0,male,S
350,63.0,female,S
351,,female,S
352,35.0,female,S
353,30.0,male,S
354,9.0,male,S
355,,male,S
356,21.0,male,S
357,55.0,male,S
358,21.0,male,S
359,,male,S
360,25.0,female,S
361,24.0,male,S
362,17.0,male,S
363,37.0,female,S
364,16.0,female,S
365,33.0,female,S
366,,male,S
367,28.0,male,S
368,26.0,male,S
369,,male,S
370,36.0,male,S
371,24.0,male,S
372,47.0,male,S
373,34.0,female,S
374,36.0,female,S
375,32.0,male,S
376,30.0,female,S
377,22.0,male,S
378,50.0,female,S
379,,male,S
380,39.0,male,S
381,23.0,male,S
382,2.0,female,S
383,30.0,female,S
384,7.0,female,S
385,45.0,male,S
386,,male,S
387,36.0,female,S
388,9.0,female,S
389,11.0,female,S
390,32.0,male,S
391,64.0,male,S
392,19.0,female,S
393,33.0,male,S
394,8.0,male,S
395,27.0,male,S
396,22.0,female,S
397,62.0,male,S
398,39.0,female,S
399,36.0,female,S
400,40.0,male,S
401,28.0,male,S
402,,male,S
403,,female,S
404,24.0,male,S
405,19.0,male,S
406,29.0,female,S
407,32.0,male,S
408,62.0,male,S
409,53.0,female,S
410,36.0,male,S
411,16.0,male,S
412,19.0,male,S
413,34.0,female,S
414,39.0,female,S
415,32.0,male,S
416,25.0,female,S
417,54.0,male,S
418,18.0,female,S
419,47.0,male,S
420,22.0,male,S
421,,male,S
422,35.0,male,S
423,47.0,male,S
424,37.0,male,S
425,36.0,male,S
426,,female,S
427,49.0,male,S
428,24.0,female,S
429,,male,S
430,,male,S
431,44.0,male,S
432,36.0,male,S
433,30.0,male,S
434,27.0,male,S
435,40.0,female,S
436,39.0,female,S
437,,male,S
438,35.0,male,S
439,24.0,female,S
440,34.0,male,S
441,26.0,female,S
442,4.0,female,S
443,26.0,male,S
444,42.0,male,S
445,21.0,male,S
446,21.0,male,S
447,61.0,male,S
448,21.0,female,S
449,26.0,male,S
450,80.0,male,S
451,51.0,male,S
452,,male,S
453,9.0,female,S
454,28.0,female,S
455,32.0,male,S
456,31.0,male,S
457,41.0,female,S
458,,male,S
459,20.0,male,S
460,2.0,female,S
461,,male,S
462,19.0,male,S
463,,male,S
464,23.0,female,S
465,,male,S
466,18.0,female,S
467,21.0,male,S
468,24.0,male,S
469,,male,S
470,23.0,male,S
471,50.0,male,S
472,47.0,male,S
473,36.0,male,S
474,20.0,male,S
475,32.0,male,S
476,25.0,male,S
477,,male,S
478,43.0,male,S
479,,female,S
480,40.0,female,S
481,31.0,male,S
482,70.0,male,S
483,31.0,male,S
484,,male,S
485,18.0,male,S
486,24.5,male,S
487,18.0,female,S
488,43.0,female,S
489,20.0,male,S
490,14.0,male,S
491,60.0,male,S
492,14.0,male,S
493,19.0,male,S
494,18.0,male,S
495,15.0,female,S
496,31.0,male,S
497,,male,S
498,60.0,male,S
499,52.0,male,S
500,44.0,male,S
501,42.0,male,S
502,35.0,male,S
503,26.0,male,S
504,39.0,male,S
505,45.0,female,S
506,42.0,male,S
507,22.0,female,S
508,,male,S
509,48.0,male,S
510,29.0,male,S
511,52.0,male,S
512,19.0,male,S
513,27.0,female,S
514,33.0,male,S
515,6.0,female,S
516,17.0,male,S
517,34.0,male,S
518,50.0,male,S
519,27.0,male,S
520,20.0,male,S
521,30.0,female,S
522,25.0,male,S
523,25.0,female,S
524,29.0,female,S
525,,male,S
526,23.0,male,S
527,23.0,male,S
528,28.5,male,S
529,48.0,female,S
530,,male,S
531,,male,S
532,,male,S
533,36.0,male,S
534,24.0,male,S
535,31.0,male,S
536,70.0,male,S
537,16.0,male,S
538,30.0,female,S
539,19.0,male,S
540,4.0,female,S
541,6.0,male,S
542,33.0,male,S
543,23.0,male,S
544,48.0,female,S
545,0.67,male,S
546,28.0,male,S
547,18.0,male,S
548,34.0,male,S
549,33.0,female,S
550,,male,S
551,41.0,male,S
552,36.0,female,S
553,16.0,male,S
554,51.0,female,S
555,32.0,male,S
556,24.0,male,S
557,48.0,male,S
558,57.0,female,S
559,54.0,female,S
560,18.0,male,S
561,5.0,female,S
562,43.0,female,S
563,17.0,female,S
564,29.0,male,S
565,,male,S
566,25.0,male,S
567,25.0,male,S
568,18.0,female,S
569,1.0,male,S
570,16.0,male,S
571,,female,S
572,25.0,male,S
573,39.0,male,S
574,49.0,female,S
575,31.0,female,S
576,30.0,female,S
577,34.0,male,S
578,31.0,female,S
579,11.0,male,S
580,27.0,male,S
581,31.0,male,S
582,39.0,male,S
583,18.0,female,S
584,39.0,male,S
585,33.0,female,S
586,26.0,male,S
587,39.0,male,S
588,35.0,male,S
589,6.0,female,S
590,30.5,male,S
591,,male,S
592,23.0,female,S
593,43.0,male,S
594,10.0,male,S
595,52.0,female,S
596,27.0,male,S
597,38.0,male,S
598,27.0,female,S
599,2.0,male,S
600,,male,S
601,0.83,male,S
602,23.0,male,S
603,18.0,male,S
604,21.0,male,S
605,,male,S
606,32.0,male,S
607,20.0,male,S
608,16.0,male,S
609,17.0,male,S
610,42.0,male,S
611,,male,S
612,28.0,male,S
613,4.0,male,S
614,74.0,male,S
615,16.0,female,S
616,44.0,female,S
617,18.0,female,S
618,45.0,female,S
619,51.0,male,S
620,41.0,male,S
621,21.0,male,S
622,48.0,female,S
623,,female,S
624,24.0,male,S
625,42.0,female,S
626,31.0,male,S
627,,male,S
628,4.0,male,S
629,26.0,male,S
630,47.0,female,S
631,33.0,male,S
632,47.0,male,S
633,20.0,male,S
634,19.0,male,S
635,,male,S
636,25.0,female,S
637,33.0,male,S
638,22.0,female,S
639,28.0,male,S
640,25.0,male,S
641,27.0,male,S
642,19.0,female,S
643,,female,S
